rank,year_ranked,material_type,coaster_name,park_name,supplier,year_built,status,speed,height,length,num_inversions,manufacturer,seating_type,city,state,country,zip_code
35,2019,Wooden,Cú Chulainn,Tayto Park,The Gravity Group,2015,status.operating,90.0,32.0,1094.0,0.0,Gravity Group,Sit Down,Ashbourne,Meath,Ireland,A84 EA02
36,2019,Wooden,Boss,Six Flags St. Louis,Custom Coasters,2000,status.operating,106.0,46.0,1540.0,0.0,CCI,Sit Down,Eureka,Missouri,United States,63025
37,2019,Wooden,T Express,Everland,Intamin,2008,status.operating,104.0,56.0,1641.0,0.0,Intamin,Sit Down,Seoul,Seoul,South Korea,17023
38,2019,Wooden,Blue Streak,Cedar Point,PTC/Hoover,1964,status.operating,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Sandusky,Ohio,United States,44870
39,2019,Wooden,American Thunder,Six Flags St. Louis,Great Coasters Int.,2008,status.operating,77.0,25.0,827.0,0.0,GCI,Sit Down,Eureka,Missouri,United States,63025
40,2019,Wooden,Blue Streak,Conneaut Lake Park,Vettel /NAD,1938,status.operating,,,883.0,0.0,na,na,Conneaut Lake,Pennsylvania,United States,16316
41,2019,Wooden,InvadR,Busch Gardens Williamsburg,Great Coasters Int.,2017,,,,,,,,,,,
42,2019,Wooden,Screamin' Eagle,Six Flags St. Louis,PTC/Allen,1976,status.operating,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Eureka,Missouri,United States,63025
43,2019,Wooden,Hades 360,Mt. Olympus Theme Park,The Gravity Group,2005,,,,,,,,,,,
44,2019,Wooden,Megafobia,Oakwood Leisure Park,Custom Coasters,1996,status.operating,77.0,26.0,901.0,0.0,CCI,Sit Down,Pembroke,Wales,United Kingdom,SA67 8DE
45,2019,Wooden,Rutschebanan,Tivoli Gardens,L.A. Thompson S. R. Co.,1914,status.operating,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,Sit Down,Copenhagen,Region Hovedstaden,Denmark,1630
45,2019,Wooden,Twister,Knoebels Amusement Resort,Fetterman,1999,status.operating,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
47,2019,Wooden,El Toro,Freizeitpark Plohn,Great Coasters Int.,2009,status.operating,75.0,28.0,750.0,0.0,GCI,Sit Down,Reichenbach/Vogtland,Saxony,Germany,08485
48,2019,Wooden,Twister,Gröna Lund,The Gravity Group,2011,status.operating,61.0,15.0,480.0,0.0,Gravity Group,Sit Down,Stockholm,Stockholms,Sweden,115 21
49,2019,Wooden,Switchback,ZDT's,The Gravity Group,2015,status.operating,66.0,20.0,365.0,,Gravity Group,Sit Down,Seguin,Texas,United States,78155
50,2019,Wooden,Grizzly,Kings Dominion,Taft,1982,status.operating,,27.0,960.0,0.0,na,Sit Down,Doswell,Virginia,United States,23047
1,2018,Wooden,Phoenix,Knoebels Amusement Resort,PTC/Schmeck-Dinn,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
2,2018,Wooden,El Toro,Six Flags Great Adventure,Intamin,2006,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
3,2018,Wooden,Voyage,Holiday World,Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
4,2018,Wooden,Boulder Dash,Lake Compounce,Custom Coasters,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
5,2018,Wooden,Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
6,2018,Wooden,Lightning Rod,Dollywood,Rocky Mountain,2016,status.operating,118.0,50.0,1158.0,0.0,RMC,Sit Down,Pigeon Forge,Tennessee,United States,37863
