coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Iron Gwazi,status.construction,76.0,65.0,1242.0,0.0,Hybrid,RMC,Sit Down,Busch Gardens Tampa,Tampa,Florida,United States,33612
Iron Rattler,status.operating,113.0,55.0,996.0,1.0,Hybrid,RMC,Sit Down,Six Flags Fiesta Texas,San Antonio,Texas,United States,78257
Jack Rabbit,status.operating,72.0,21.0,650.0,0.0,Steel,ACE Coaster Classic,Sit Down,Kennywood,West Mifflin,Pennsylvania,United States,15122
Jack Rabbit,status.closed.definitely,,16.0,396.0,0.0,Steel,Miler Coaster,Sit Down,Celebration City,,,,
Jack Rabbit,status.unknown,,,,0.0,Steel,na,Sit Down,Seabreeze,,,,
Jetline,status.operating,90.0,32.0,800.0,0.0,Steel,Schwarzkopf,Sit Down,Gröna Lund,Stockholm,Stockholms,Sweden,115 21
Joris en de Draak,status.operating,75.0,22.0,788.0,0.0,Wooden,GCI,Sit Down,Efteling,Kaatsheuvel,North Brabant,Netherlands,5171
Jurassic World VelociCoaster,status.operating,70.0,47.24,1432.56,4.0,Steel,Intamin,Sit Down,Universal's Islands of Adventure,Orlando,Florida,United States,32819
Katun,status.operating,104.0,50.0,1200.0,6.0,Steel,B&M,Inverted,Mirabilandia,Savio,Emilia-Romagna,Italy,48125
Kentucky Rumbler,status.operating,77.0,27.0,862.0,0.0,Wooden,GCI,Sit Down,Beech Bend,Bowling Green,Kentucky,United States,42101
Kingda Ka,status.operating,206.0,139.0,950.0,0.0,Steel,Intamin,Sit Down,Six Flags Great Adventure,Jackson,New Jersey,United States,08527
Kraken,status.operating,105.0,46.0,1273.0,7.0,Steel,B&M,Floorless,SeaWorld Orlando,Orlando,Florida,United States,32821
Kumba,status.operating,96.0,43.0,1210.0,7.0,Steel,B&M,Sit Down,Busch Gardens Tampa,Tampa,Florida,United States,33612
Kumba,status.operating,80.0,33.0,689.0,5.0,Steel,Vekoma,Inverted,Superland,,,,
Legend,status.operating,,19.0,,0.0,Wooden,na,na,Arnolds Park,,,,
Legend,status.operating,93.0,35.0,1232.0,0.0,Wooden,CCI,Sit Down,Holiday World,Santa Claus,Indiana,United States,47579
Leviathan,status.operating,148.0,93.0,1672.0,0.0,Steel,B&M,Sit Down,Canada's Wonderland,Vaughan,Ontario,Canada,L6A 1S6
Lightning Racer,status.operating,82.0,27.0,1036.0,0.0,Wooden,GCI,Sit Down,Hersheypark,Hershey,Pennsylvania,United States,17033
Lightning Rod,status.operating,118.0,50.0,1158.0,0.0,Wooden,RMC,Sit Down,Dollywood,Pigeon Forge,Tennessee,United States,37863
Lightning Run,status.operating,90.0,31.0,765.0,0.0,Steel,Chance Rides,Sit Down,Kentucky Kingdom,Louisville,Kentucky,United States,40209
Lisebergbanan,status.operating,80.0,45.0,1548.0,0.0,Steel,Schwarzkopf,Sit Down,Liseberg,Gothenburg,Västra Götalands,Sweden,402 22
Magnum XL-200,status.operating,116.0,63.0,1556.0,0.0,Steel,Arrow,Sit Down,Cedar Point,Sandusky,Ohio,United States,44870
Mako,status.operating,115.0,61.0,1450.0,0.0,Steel,B&M,Sit Down,SeaWorld Orlando,Orlando,Florida,United States,32821
Mako,status.announced,,47.0,,0.0,Steel,B&M,Sit Down,SeaWorld San Diego,,,,
Mamba,status.operating,120.0,63.0,1700.0,0.0,Steel,Morgan,Sit Down,Worlds of Fun,Kansas City,Missouri,United States,64161
Manta,status.operating,97.0,43.0,1024.0,4.0,Steel,B&M,Flying,SeaWorld Orlando,Orlando,Florida,United States,32821
Manta,status.operating,70.0,9.0,850.0,0.0,Steel,Mack,Sit Down,SeaWorld San Diego,,,,
Maverick,status.operating,113.0,32.0,1356.0,2.0,Steel,Intamin,Sit Down,Cedar Point,Sandusky,Ohio,United States,44870
Mean Streak,status.retracked,100.0,49.0,1654.0,0.0,Wooden,Dinn Corp.,Sit Down,Cedar Point,Sandusky,Ohio,United States,44870
Medusa Steel Coaster,status.operating,93.0,36.0,910.0,3.0,Hybrid,RMC,Sit Down,Six Flags Mexico,Mexico City,Distrito Federal,Mexico,14200
Megafobia,status.operating,77.0,26.0,901.0,0.0,Wooden,CCI,Sit Down,Oakwood Leisure Park,Pembroke,Wales,United Kingdom,SA67 8DE
Millennium Force,status.operating,150.0,94.0,2010.0,0.0,Steel,Intamin,Sit Down,Cedar Point,Sandusky,Ohio,United States,44870
Mind Bender,status.operating,81.0,25.0,992.0,2.0,Steel,Schwarzkopf,Sit Down,Six Flags Over Georgia,Austell,Georgia,United States,30168
Mindbender,status.operating,97.0,44.0,1280.0,3.0,Steel,Schwarzkopf,Sit Down,Galaxyland,Edmonton,Alberta,Canada,T5T 4J2
Mindbender,status.operating,97.0,44.0,1280.0,3.0,Steel,Schwarzkopf,Sit Down,Six Flags Over Georgia,Austell,Georgia,United States,30168
Mine Blower,status.operating,78.0,25.0,698.0,1.0,Wooden,Gravity Group,Sit Down,Fun Spot America,Orlando,Florida,United States,32819
Montu,status.operating,96.0,46.0,1214.0,7.0,Steel,B&M,Inverted,Busch Gardens Tampa,Tampa,Florida,United States,33612
Mystic Timbers,status.operating,85.0,33.0,995.0,0.0,Wooden,GCI,Sit Down,Kings Island,Mason,Ohio,United States,45040
Nemesis,status.operating,81.0,13.0,716.0,4.0,Steel,B&M,Inverted,Alton Towers,Stoke-on-Trent,England,United Kingdom,ST10 4DB
New Texas Giant,status.operating,105.0,47.0,1280.0,0.0,Hybrid,RMC,Sit Down,Six Flags Over Texas,Arlington,Texas,United States,76011
Nitro,status.operating,105.0,40.0,854.0,5.0,na,B&M,Floorless,Adlabs Imagica,,,,
Nitro,status.operating,50.0,10.0,460.0,0.0,Steel,Preston & Barbieri,Sit Down,Dennlys Parc,,,,
